"","lp__","hs[1]","hs[2]","hl","ts[1]","ts[2]","gamma","rho[1]","phi","delta[1]","delta[2]","delta[3]","delta[4]","L[1,1]","tau[1]","tau[2]","tau[3]","tau[4]","w[1]","lc[1,1]","lc[2,1]","lc[3,1]","lc[2,2]","lc[2,3]","lc[2,4]","alpha[1]","beta[1]","ll"
"130",-649.843,1.66261,3.6804,82.6909,-2.9745,0.341179,0.476432,2.30386,0.144952,0.231138,0.334365,0.147636,0.0683834,0.658217,0.467734,1.57992,2.01626,1.03247,3.4092,5.13838,6.73719,6.98067,7.12716,6.80226,6.01124,0.365861,0.306269,-578.716
"131",-659.386,2.33009,4.88421,94.5869,-2.40459,1.49531,0.424135,2.41614,0.219981,0.14621,0.343601,0.132142,0.177803,1.32591,1.70724,0.94721,1.97995,0.653874,2.16206,4.52503,6.52165,8.03664,6.7095,6.58704,6.88783,0.555602,0.760904,-587.547
"132",-653.394,1.92302,3.93692,79.3828,-2.45072,0.297417,0.564998,2.09066,0.257746,0.196182,0.355438,0.115766,0.191658,2.3524,1.51241,4.56611,2.84345,0.847896,2.66779,4.45792,6.81978,6.16047,6.98647,6.95479,6.11494,0.513475,0.294913,-584.332
"133",-655.933,1.84131,4.16545,75.8052,-2.90262,0.281006,0.338536,2.28286,0.362596,0.173784,0.424634,0.125773,0.245245,0.916454,1.36628,1.64217,2.94045,0.545695,2.65099,4.82119,6.76613,5.93036,7.09636,6.67184,6.09074,0.369287,0.372458,-582.854
"134",-663.022,2.38025,4.43389,49.7427,-2.38666,0.209839,0.42511,2.77983,0.249261,0.25785,0.440725,0.141156,0.157415,0.734767,1.19826,1.20101,2.85788,1.02934,1.8008,4.9638,6.55058,5.74587,6.47215,6.87646,5.6482,0.768444,0.669304,-588.355
"135",-655.295,2.81928,4.5012,99.683,-1.78095,0.335293,0.394725,2.38083,0.187476,0.210533,0.380523,0.186102,0.06965,0.331168,2.02911,1.92354,0.378407,1.98013,2.33774,4.92095,6.85044,6.82583,7.05596,6.76187,5.87487,0.472483,0.299106,-584.486
"136",-658.517,1.44942,4.77436,84.3587,-1.41619,-0.537929,0.455492,2.02029,0.301202,0.256395,0.429396,0.183806,0.0744877,0.347286,1.98683,1.25478,2.04858,0.14452,4.76366,4.94589,6.92418,7.46355,7.41306,6.82461,6.26212,0.340143,0.33427,-577.39
"137",-639.911,2.50646,3.5233,87.0528,-2.2607,0.514842,0.404426,2.437,0.287886,0.201537,0.47252,0.174385,0.157147,0.703271,0.579065,1.53766,0.95416,0.758928,3.46468,4.96979,6.84025,6.11576,7.11589,6.84903,6.23178,0.318175,0.420383,-572.51
"138",-656.831,1.19375,4.2172,69.7332,-2.31135,0.505933,0.358262,2.71845,0.230845,0.15301,0.375548,0.12782,0.130333,1.34944,1.02434,0.546443,0.819389,0.0724759,2.44014,4.90366,6.71218,4.75025,6.95941,6.9099,5.89941,0.468106,0.420687,-580.473
"139",-647.2,2.52339,4.77204,81.3098,-1.97054,0.743922,0.366939,2.27439,0.3006,0.209137,0.410192,0.178989,0.12958,1.17219,0.760631,0.356923,1.46408,1.46153,3.39,4.73099,6.7749,7.445,7.08413,6.78508,6.22749,0.431914,0.351922,-582.544
"140",-649.558,1.60006,4.36384,91.3571,-1.9815,0.0734819,0.488144,2.33634,0.216865,0.201421,0.413535,0.164956,0.225822,0.680828,1.32685,0.974503,2.16446,0.788983,1.71443,4.84899,6.78596,7.80462,6.72152,6.84076,6.15741,0.82936,0.7856,-583.41
"141",-649.218,1.53409,5.12393,59.9905,-1.86809,0.174709,0.473913,2.74797,0.178507,0.188238,0.408822,0.195892,0.178703,0.940528,0.0356426,0.871483,3.01632,3.13517,2.19877,4.84172,6.82909,6.22003,6.8117,7.06119,6.10923,0.621338,0.616941,-578.584
"142",-657.303,1.04472,4.64485,62.0139,-2.69463,0.152666,0.486236,2.32485,0.169518,0.199679,0.460518,0.210308,0.0709977,0.232052,1.89796,1.52149,0.90551,1.3458,3.59427,5.24144,6.67043,7.98117,6.91139,7.00103,6.16332,0.496874,0.475774,-588.601
"143",-641.61,1.3278,4.57307,74.1223,-2.26818,0.0414186,0.481176,2.54972,0.357528,0.216183,0.384209,0.158852,0.0694697,0.716951,0.785108,1.04072,3.06199,0.499695,2.63917,5.02334,6.9982,5.81007,7.08868,6.88163,5.87524,0.500965,0.347504,-572.78
"144",-656.876,1.77377,4.02808,54.9794,-2.24586,1.21783,0.598626,2.32653,0.285687,0.167937,0.412535,0.202959,0.0734705,0.00933055,2.46025,1.82743,0.77501,1.90543,3.27318,5.19921,6.55975,7.41067,7.00062,6.70567,5.54235,0.447017,0.570702,-574.417
"145",-658.143,2.83154,4.70701,95.3826,-2.09869,-0.386423,0.380814,2.82662,0.203426,0.217814,0.366279,0.179225,0.0439848,0.697266,1.35345,0.0600431,0.660451,1.36351,2.75697,4.85366,6.74639,7.62679,7.05054,6.86556,6.16253,0.476062,0.466089,-579.752
"146",-643.286,1.19736,4.00645,76.6323,-2.31137,0.423341,0.51807,2.54371,0.234149,0.129652,0.454048,0.165829,0.148054,1.03177,2.12896,2.78089,1.06274,0.583251,3.05607,4.95858,6.70954,7.38807,6.95811,6.89817,6.05483,0.332021,0.485539,-578.634
"147",-650.286,2.04736,3.82203,78.4306,-1.80493,0.0343477,0.297507,2.58393,0.292289,0.153826,0.387539,0.133418,0.0867605,1.27923,0.467551,0.00820969,2.15964,1.70224,3.30421,4.72704,6.86668,6.57335,7.10792,6.77343,6.66331,0.328895,0.409674,-573.873
